name,serving_id,serving_description,grams,kcal,protein,carbs,fat,fiber,sugar,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,cholesterol,sodium,potassium,calcium,iron,vitamin_a,vitamin_c,vitamin_d,added_sugars
Chicken Breast,50321,100 g,100.0,195.0,29.55,0.0,7.72,0.0,0.0,2.172,,3.005,1.646,83.0,393.0,243.0,14.0,1.06,28.0,0.0,,
Egg,11206,1 large,50.0,74.0,6.29,0.38,4.97,0.0,0.38,1.55,,1.905,0.682,212.0,70.0,67.0,26.0,0.92,70.0,0.0,,
Oats,53444,100 g,100.0,384.0,16.0,67.0,6.3,9.8,1.45,1.11,,1.98,2.3,0.0,4.0,350.0,52.0,4.2,0.0,0.0,,
Bananas,32978,"1 medium (7"" to 7-7/8"" long)",118.0,105.0,1.29,26.95,0.39,3.1,14.43,0.132,,0.038,0.086,0.0,1.0,422.0,6.0,0.31,4.0,10.3,,
Cooked Salmon,9310,"1 medium salmon steak (5/8"" thick)",142.0,197.0,33.3,0.0,6.11,0.0,0.0,1.497,,2.245,1.808,78.0,82.0,616.0,64.0,0.87,54.0,2.0,,
Cooked Lentils,51933,100 g,100.0,165.0,8.39,18.73,6.76,7.4,1.68,0.857,,2.221,3.314,0.0,220.0,343.0,18.0,3.1,0.0,1.4,,
Whole Milk,729,1 cup,244.0,146.0,7.86,11.03,7.93,0.0,12.83,4.551,,1.981,0.476,24.0,98.0,349.0,276.0,0.07,68.0,0.0,,
Cooked Broccoli,21857,"1 cup, NFS",189.0,102.0,4.35,13.19,5.08,6.0,2.53,0.956,,2.117,1.579,0.0,546.0,535.0,74.0,1.23,185.0,118.3,,
Oatmeal,15329,1 cup cooked,234.0,145.0,6.06,25.37,2.39,3.7,0.56,0.421,,0.748,0.87,0.0,278.0,126.0,23.0,1.52,0.0,0.0,,
Oatmeal,15329,1 cup cooked,234.0,145.0,6.06,25.37,2.39,3.7,0.56,0.421,,0.748,0.87,0.0,278.0,126.0,23.0,1.52,0.0,0.0,,
